,id,firstName,lastName,nbaId,height,weight,dob,position
0,ff415697-89ef-11e6-a31e-a45e60e298d3,Aaron,Brooks,201166,72,161,1/14/85,G
1,ff42ec5e-89ef-11e6-96c8-a45e60e298d3,Aaron,Gordon,203932,80,235,9/16/95,F
2,ff4020d4-89ef-11e6-af09-a45e60e298d3,Aaron,Gray,201189,84,270,12/7/84,C
3,ff4199f8-89ef-11e6-854d-a45e60e298d3,Aaron,Harrison,1626151,78,210,10/28/94,G
4,c9b3e617-4bd6-4399-970f-b84358a6783f,Aaron,Henry,1630565,77,210,8/30/99,F
5,093abdd8-ac3a-4ae9-bd14-7d8a443e54b2,Aaron,Holiday,1628988,72,185,9/30/96,G
6,0c651ced-7b99-4c09-86e6-3a0f31162676,Aaron,Jackson,1628935,75,183,5/6/86,G
7,71ebba33-70e0-4ab5-a75a-225a13385fcf,Aaron Lee,Jackson,64110,,,,
8,dbbeaca0-300d-47d1-a3eb-d5c96788f056,Aaron,Nesmith,1630174,77,215,10/16/99,G-F
9,61d6505c-8bdc-4eba-a929-96d26e7de95d,Aaron,Wiggins,1630598,77,190,1/2/99,G
10,478b2745-bc72-4fb1-8204-c1ba5b5b6d0c,Abdel,Nader,1627846,77,225,9/25/93,F
11,5017d4b5-6ab5-44bf-b9d8-e9ab83795738,Abdul,Gaddy,203583,75,195,1/26/92,G
12,2df953a3-ed9c-4fca-84a3-e416479cbdf2,Adam,Mokoka,1629690,76,190,7/18/98,G
13,9055f06b-a530-46de-8a42-0edb9d3d98f7,Ade,Murkey,1630278,77,200,1/29/98,G
14,2c55b7a7-23c6-453c-a8f3-1fd941ff4964,Admiral,Schofield,1629678,77,241,3/30/97,F
15,ff41f6d4-89ef-11e6-95c6-a45e60e298d3,Adonis,Thomas,203519,79,240,3/25/93,G-F
16,ff42d6b3-89ef-11e6-b9e9-a45e60e298d3,Adreian,Payne,203940,82,237,2/19/91,F
17,b37bbd3b-102d-42c2-9bfe-7874d64e9068,Ahmad,Caver,1629958,74,174,9/12/96,G
18,949231ea-ed02-4186-bacc-50c47aedb984,AJ,Green,1631260,77,190,9/27/99,G
19,0891d6c8-a042-4f1c-99d2-de199abbde73,AJ,Griffin,1631100,78,220,8/25/03,F
20,a3d01b91-3013-4162-9ec8-2d5cdb00b58b,AJ,Hammons,1627773,84,260,8/27/92,C
21,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f,A.J.,Lawson,1630639,78,179,7/15/00,G
22,ff419342-89ef-11e6-bf6a-a45e60e298d3,AJ,Price,201985,74,195,10/7/86,G
